"","Country","Year","Nuts2","not_stated","sometimes","total","never","usually","somet_usual"
"1","BE",2022,"BE23",137.828,742.063,444.449,41.376,118.41,860.473
"2","BE",2022,"BE24",102.331,508.149,275.893,18.876,111.049,619.198
"3","BE",2022,"BE25",100.476,547.703,358.853,23.006,65.368,613.071
"4","BE",2022,"BE32",51.934,485.105,343.534,26.245,63.392,548.497
"5","BE",2022,"BE33",56.039,427.651,300.053,26.466,45.095,472.746
"6","BE",2022,"BE21",170.784,857.048,500.195,31.49,154.579,1011.627
"7","BE",2022,"BE31",44.163,179.037,82.31,9.798,42.766,221.803
"8","BE",2022,"BE34",25.138,127.898,84.273,6.996,11.491,139.389
"9","BE",2022,"BE22",73.355,407.872,264.453,16.385,53.68,461.552
"10","BE",2022,"BE35",42.041,198.838,115.677,12.585,28.534,227.372
"11","BE",2022,"BE10",94.18,508.92,285.823,27.205,101.713,610.633
"12","BG",2022,"BG31",NA,258.501,251.529,NA,NA,NA
"13","BG",2022,"BG32",5.354,293.962,285.751,NA,NA,NA
"14","BG",2022,"BG41",44.373,1017.914,949.162,NA,24.378,1042.292
"15","BG",2022,"BG34",6.439,414.077,402.808,NA,NA,NA
"16","BG",2022,"BG42",16.418,573.328,549.095,NA,7.815,581.143
"17","BG",2022,"BG33",8.459,382.806,370.112,NA,NA,NA
"18","CZ",2022,"CZ04",36.607,528.486,460.456,NA,31.209,559.695
"19","CZ",2022,"CZ07",36.553,582.703,511.771,NA,33.621,616.324
"20","CZ",2022,"CZ08",43.28,570.68,490.8,NA,36.599,607.279
"21","CZ",2022,"CZ01",151.713,626.537,392.015,NA,82.809,709.346
"22","CZ",2022,"CZ05",55.521,738.091,632.257,NA,50.313,788.404
"23","CZ",2022,"CZ02",70.184,673.982,569.872,NA,33.926,707.908
"24","CZ",2022,"CZ03",31.12,613.387,557.126,NA,25.141,638.528
"25","CZ",2022,"CZ06",63.397,835.456,728.491,NA,43.568,879.024
"26","DK",2022,"DK02",79.169,401.638,273.199,NA,49.269,450.907
"27","DK",2022,"DK01",273.215,1012.58,588.171,NA,151.194,1163.774
"28","DK",2022,"DK04",140.492,685.296,469.529,NA,75.275,760.571
"29","DK",2022,"DK05",53.231,291.467,207.348,NA,30.888,322.355
"30","DK",2022,"DK03",104.834,603.451,435.937,NA,62.68,666.131
"31","DE",2022,"DE11",212.639,2236.364,1630.207,NA,393.519,2629.883
"32","DE",2022,"DEB3",85.901,1031.441,785.781,NA,157.016,1188.457
"33","DE",2022,"DEA3",108.355,1307.459,1026.223,NA,172.881,1480.34
"34","DE",2022,"DE50",29.976,315.656,242.029,NA,43.65,359.306
"35","DE",2022,"DEB1",59.548,766.972,614.086,NA,92.441,859.413
"36","DE",2022,"DE14",100.28,1024.386,786.943,NA,137.164,1161.55
"37","DE",2022,"DE24",50.95,562.849,437.164,NA,74.735,637.584
"38","DE",2022,"DE25",96.525,937.026,686.183,NA,152.832,1089.858
"39","DE",2022,"DEB2",NA,295.19,244.34,NA,28.847,324.037
"40","DE",2022,"DE71",236.28,2043.294,1395.707,NA,410.655,2453.949
"41","DE",2022,"DEF0",123.313,1469.932,1147.269,NA,193.513,1663.445
"42","DE",2022,"DEC0",30.796,475.703,391.95,NA,51.54,527.243
"43","DE",2022,"DE92",105.313,1095.243,827.382,NA,162.547,1257.79
"44","DE",2022,"DE60",163.37,982.271,620.012,NA,194.956,1177.227
"45","DE",2022,"DE27",99.133,1015.846,791.283,NA,122.801,1138.647
"46","DE",2022,"DE80",48.846,768.14,649.301,NA,69.993,838.133
"47","DE",2022,"DE13",115.957,1225.693,970.904,NA,138.832,1364.525
"48","DE",2022,"DE23",56.083,604.282,469.1,NA,78.899,683.181
"49","DE",2022,"DE22",57.558,691.729,566.262,NA,67.502,759.231
"50","DE",2022,"DE30",279.5,1905.536,1203.952,NA,422.085,2327.621
"51","DE",2022,"DE40",90.629,1241.903,1016.637,NA,134.638,1376.541
"52","DE",2022,"DE26",64.823,715.815,562.031,NA,88.145,803.96
"53","DE",2022,"DEA4",73.565,1021.157,814.309,NA,133.282,1154.439
"54","DE",2022,"DE73",46.646,601.214,483.993,NA,70.575,671.789
"55","DE",2022,"DE91",71.599,785.006,591.132,NA,122.275,907.281
"56","DE",2022,"DE94",99.847,1318.23,1074,NA,144.382,1462.612
"57","DE",2022,"DEA2",232.869,2259.647,1596.853,NA,429.925,2689.572
"58","DE",2022,"DEA5",138.754,1736.503,1381.194,NA,216.232,1952.735
"59","DE",2022,"DE93",70.272,894.729,702.485,NA,121.972,1016.701
"60","DE",2022,"DE12",145.104,1493.705,1087.744,NA,260.857,1754.562
"61","DE",2022,"DE21",311.655,2608.506,1761.143,NA,534.059,3142.565
"62","DE",2022,"DEG0",66.143,1015.975,870.302,NA,79.531,1095.506
"63","DE",2022,"DEA1",237.742,2525.86,1879.333,NA,407.527,2933.387
"64","DE",2022,"DED5",56.513,535.51,423.618,NA,55.379,590.889
"65","DE",2022,"DED2",66.723,768.284,639.908,NA,61.653,829.937
"66","DE",2022,"DE72",59.329,532.771,402.259,NA,71.182,603.953
"67","DE",2022,"DEE0",55.574,1007.244,886.457,NA,64.731,1071.975
"68","DE",2022,"DED4",40.034,651.86,576.256,NA,35.571,687.431
"69","EE",2022,"EE00",86.492,680.837,511.34,NA,82.811,763.648
"70","IE",2022,"IE05",97.789,826.915,543.809,NA,180.841,1007.756
"71","IE",2022,"IE06",141.374,1314.769,769.818,NA,399.638,1714.407
"72","IE",2022,"IE04",43.284,443.56,319.454,NA,78.264,521.824
"73","EL",2022,"EL42",15.85,120.147,103.242,NA,NA,NA
"74","EL",2022,"EL53",NA,96.396,93.983,NA,NA,NA
"75","EL",2022,"EL64",6.507,220,212.288,NA,NA,NA
"76","EL",2022,"EL41",3.86,69.553,60.71,NA,NA,NA
"77","EL",2022,"EL65",13.349,242.773,226.473,NA,NA,NA
"78","EL",2022,"EL54",6.757,122.355,107.886,4.479,NA,NA
"79","EL",2022,"EL63",4.839,238.327,231.181,NA,NA,NA
"80","EL",2022,"EL52",47.297,755.768,693.22,NA,14.988,770.756
"81","EL",2022,"EL51",15.014,213.439,196.654,NA,NA,NA
"82","EL",2022,"EL43",13.767,284.666,267.346,NA,NA,NA
"83","EL",2022,"EL62",3.861,65.187,60.518,NA,NA,NA
"84","EL",2022,"EL30",163.652,1499.931,1265.719,NA,69.762,1569.693
"85","EL",2022,"EL61",6.018,212.092,203.263,NA,NA,NA
"86","ES",2022,"ES23",4.564,145.563,134.216,NA,6.191,151.754
"87","ES",2022,"ES70",40.015,925.217,819.275,13.061,53.258,978.475
"88","ES",2022,"ES21",52.212,967.942,834.269,9.981,70.245,1038.187
"89","ES",2022,"ES43",20.644,409.886,368.296,2.184,18.397,428.283
"90","ES",2022,"ES61",192.196,3275.079,2855.31,32.312,195.936,3471.015
"91","ES",2022,"ES63",NA,26.379,24.49,NA,NA,NA
"92","ES",2022,"ES42",36.063,871.204,784.262,6.936,44.289,915.493
"93","ES",2022,"ES30",266.286,3217.112,2490.567,38.094,419.548,3636.66
"94","ES",2022,"ES41",52.223,1010.048,903.626,6.068,48.432,1058.48
"95","ES",2022,"ES52",139.962,2216.896,1916.654,13.568,145.956,2362.852
"96","ES",2022,"ES22",14.248,295.211,267.287,2.112,12.174,307.385
"97","ES",2022,"ES24",34.685,600.22,529.544,2.789,32.884,633.104
"98","ES",2022,"ES51",246.346,3593.538,2988.351,42.478,315.245,3908.783
"99","ES",2022,"ES53",37.584,575.943,495.129,7.182,35.425,611.368
"100","ES",2022,"ES12",18.953,383.851,330.035,NA,33.483,417.334
"101","ES",2022,"ES62",39.287,651.262,577.388,3.885,30.863,682.125
"102","ES",2022,"ES13",11.881,249.157,224.183,2.137,10.689,259.846
"103","ES",2022,"ES64",NA,28.984,26.41,NA,NA,NA
"104","ES",2022,"ES11",64.083,1103.816,965.719,3.068,70.379,1174.195
"105","FR",2022,"FRM0",24.303,128.834,93.286,NA,NA,NA
"106","FR",2022,"FRY3",NA,65.655,50.16,NA,NA,NA
"107","FR",2022,"FRG0",329.201,1670.755,1146.844,NA,194.71,1865.465
"108","FR",2022,"FRD2",150.348,799.755,559.958,NA,88.185,887.94
"109","FR",2022,"FRI2",54.571,290.487,198.648,NA,37.268,327.755
"110","FR",2022,"FRH0",289.263,1423.989,989.437,NA,143.976,1567.965
"111","FR",2022,"FRJ2",271.221,1301.9,885.178,NA,142.294,1444.194
"112","FR",2022,"FRJ1",200.23,1119.979,748.821,NA,168.152,1288.131
"113","FR",2022,"FRD1",94.692,550.375,404.254,NA,51.429,601.804
"114","FR",2022,"FRY1",NA,118.827,87.873,NA,NA,NA
"115","FR",2022,"FRE2",118.533,750.618,556.338,NA,74.827,825.445
"116","FR",2022,"FRY4",41.957,278.758,212.883,NA,21.666,300.424
"117","FR",2022,"FRC1",136.788,654.637,461.912,NA,55.937,710.574
"118","FR",2022,"FRL0",410.201,2037.382,1359.997,NA,264.686,2302.068
"119","FR",2022,"FRF3",156.032,963.559,708.993,NA,97.408,1060.967
"120","FR",2022,"FR10",1608.71,5804.311,3081.333,NA,1094.377,6898.688
"121","FR",2022,"FRE1",265.906,1506.395,1098.396,NA,142.094,1648.489
"122","FR",2022,"FRC2",99.448,470.517,329.73,NA,41.339,511.856
"123","FR",2022,"FRK1",116.95,561.507,387.97,NA,56.587,618.094
"124","FR",2022,"FRK2",656.338,3043.347,1984.713,NA,396.167,3439.514
"125","FR",2022,"FRF2",71.821,517.401,399.617,NA,45.963,563.364
"126","FR",2022,"FRB0",224.222,1073.937,762.724,NA,86.991,1160.928
"127","FR",2022,"FRY2",NA,121.429,92.444,NA,NA,NA
"128","FR",2022,"FRF1",193.337,851.202,553.065,NA,104.8,956.002
"129","FR",2022,"FRI1",342.683,1512.12,994.852,NA,171.51,1683.63
"130","FR",2022,"FRI3",135.633,723.456,508.292,NA,79.531,802.987
