"","YEAR","COREG_2DW","Never_all","Never_incountry","Total_all","Never_cross"
"1",2010,"AT11",78.748,78.748,100.781,0
"2",2010,"AT12",497.718,494.92,645.862,2.798
"3",2010,"AT13",732.616,724.34,942.419,8.27599999999995
"4",2010,"AT21",194.754,193.931,247.663,0.823000000000008
"5",2010,"AT22",436.494,436.494,558.182,0
"6",2010,"AT31",550.582,546.537,697.648,4.04499999999996
"7",2010,"AT32",216.248,216.248,272.962,0
"8",2010,"AT33",269.896,269.896,347.928,0
"9",2010,"AT34",134.442,134.442,166.537,0
"10",2010,"BE00",6.08,0,6.08,6.08
"11",2010,"BE10",541.796,541.796,687.87,0
"12",2010,"BE21",569.464,569.464,694.152,0
"13",2010,"BE22",252.827,252.827,305.444,0
"14",2010,"BE23",430.965,430.965,529.507,0
"15",2010,"BE24",308.486,308.486,397.114,0
"16",2010,"BE25",383.893,383.893,471.062,0
"17",2010,"BE31",98.396,98.396,135.548,0
"18",2010,"BE32",312.212,312.212,371.595,0
"19",2010,"BE33",286.611,286.611,351.741,0
"20",2010,"BE34",63.747,63.747,77.185,0
"21",2010,"BE35",117.755,117.755,152.553,0
"22",2010,"BG31",302.802,302.802,302.802,0
"23",2010,"BG32",317.782,317.782,317.782,0
"24",2010,"BG33",381.672,381.672,381.672,0
"25",2010,"BG34",434.967,434.967,434.967,0
"26",2010,"BG41",997.084,997.084,1020.086,0
"27",2010,"BG42",565.404,565.404,573.055,0
"28",2010,"CH00",289.006,89.451,321.558,199.555
"29",2010,"CH01",522.942,522.942,700.681,0
"30",2010,"CH02",642.425,642.425,894.008,0
"31",2010,"CH03",368.391,368.391,523.557,0
"32",2010,"CH04",553.31,553.31,838.121,0
"33",2010,"CH05",400.462,400.462,553.801,0
"34",2010,"CH06",280.416,280.416,393.225,0
"35",2010,"CH07",117.18,117.18,150.613,0
"36",2010,"CY00",388.887,388.887,395.222,0
"37",2010,"CZ01",724.327,712.277,795.315,12.05
"38",2010,"CZ02",491.366,489.319,530.384,2.04700000000003
"39",2010,"CZ03",526.533,526.533,559.807,0
"40",2010,"CZ04",459.767,459.767,485.483,0
"41",2010,"CZ05",625.909,625.909,679.219,0
"42",2010,"CZ06",694.379,691.553,758.592,2.82600000000002
"43",2010,"CZ07",493.445,489.001,539.395,4.44400000000002
"44",2010,"CZ08",508.067,503.196,536.351,4.87099999999998
"45",2010,"DE00",181.283,114.942,182.822,66.341
"46",2010,"DE11",1877.654,1877.654,2206.04,0
"47",2010,"DE12",1059.622,1059.622,1200.464,0
"48",2010,"DE13",806.359,806.359,898.043,0
"49",2010,"DE14",598.03,598.03,694.727,0
"50",2010,"DE21",1804.958,1793.868,2280.782,11.0899999999999
"51",2010,"DE22",494.074,489.086,494.074,4.988
"52",2010,"DE23",461.535,460.548,461.535,0.987000000000023
"53",2010,"DE24",427.637,427.067,499.02,0.569999999999993
"54",2010,"DE25",757.858,757.356,844.639,0.501999999999953
"55",2010,"DE26",484.884,484.884,557.907,0
"56",2010,"DE27",775.463,775.463,845.39,0
"57",2010,"DE30",1463.551,1454.357,1625.504,9.19399999999996
"58",2010,"DE40",851.916,851.916,937.748,0
"59",2010,"DE50",342.858,342.858,342.858,0
"60",2010,"DE60",859.921,859.921,1003.873,0
"61",2010,"DE71",1548.596,1548.027,1894.61,0.56899999999996
"62",2010,"DE72",388.983,388.983,388.983,0
